meanDiet,subspecies,sdDiet,plant
57.9351351351351,2-Barren Ground,21.6318209052238,lichen
20.92325,5-Reindeer,19.9809978174778,lichen
57.11,6-Introduced-Reindeer,15.9343356507756,lichen
45.06875,4-Woodland,21.2327871462981,lichen
90.2666666666667,3-Mountain,1.36503968196289,lichen
2.66409090909091,1-Peary,4.56560292695062,lichen
9.44722222222222,2-Barren Ground,14.7147445220502,graminoid
30.6027,5-Reindeer,19.2178223027881,graminoid
13.68,6-Introduced-Reindeer,8.77236090168853,graminoid
10.6928571428571,4-Woodland,10.7062089486853,graminoid
1.96666666666667,3-Mountain,1.19303534454489,graminoid
24.4746212118182,1-Peary,12.4492447860289,graminoid
1.74871794871795,2-Barren Ground,3.24360681266945,forbs
10.318775,5-Reindeer,22.4547152783136,forbs
2.518,6-Introduced-Reindeer,2.85103046929388,forbs
2.1,4-Woodland,3.6149331854799,forbs
0.766666666666667,3-Mountain,0.351188458428425,forbs
7.25325757590909,1-Peary,12.9969573412485,forbs
16.1846153846154,2-Barren Ground,22.7763328047425,shrubs
18.52995,5-Reindeer,12.49520587645,shrubs
15.62,6-Introduced-Reindeer,12.7781721779966,shrubs
15.525,4-Woodland,12.6387524905004,shrubs
2.83333333333333,3-Mountain,1.18462370959446,shrubs
31.1756818180455,1-Peary,23.9181815054628,shrubs
1,2-Barren Ground,0.707106781186548,horsetail
3.17223076923077,5-Reindeer,7.61435716430751,horsetail
4.395,6-Introduced-Reindeer,4.49156812377663,horsetail
36,4-Woodland,,horsetail
,3-Mountain,,horsetail
,1-Peary,,horsetail
0.305128205128205,2-Barren Ground,1.90552503028054,tree
0,5-Reindeer,0,tree
0,6-Introduced-Reindeer,0,tree
5.11875,4-Woodland,13.2992465830745,tree
0,3-Mountain,0,tree
0,1-Peary,0,tree
14.1846153846154,2-Barren Ground,10.6149977926353,moss
10.071675,5-Reindeer,11.300192733522,moss
5.65,6-Introduced-Reindeer,3.57454450539543,moss
11.03,4-Woodland,6.18565544896685,moss
3.9,3-Mountain,0.8,moss
34,1-Peary,16.8374582404827,moss
2.43333333333333,2-Barren Ground,2.46711707599511,fungi
0.1,5-Reindeer,0.2,fungi
,6-Introduced-Reindeer,,fungi
18.5,4-Woodland,9.19238815542512,fungi
,3-Mountain,,fungi
,1-Peary,,fungi
18.2384615384615,2-Barren Ground,22.6233649061344,vascular
28.848725,5-Reindeer,23.4245555073583,vascular
18.138,6-Introduced-Reindeer,12.5068333322228,vascular
22.74375,4-Woodland,13.2315833665929,vascular
3.6,3-Mountain,0.888819441731559,vascular
38.4289393939545,1-Peary,21.5260514589567,vascular
